"Δx [m]","Δy [m]","φ []","R [m]","Δz [m]"
"1.54297e-06","1.03516e-06","-0.590918","1.85804e-06","-8.69446e-08"
"1.46484e-06","9.57031e-07","-0.578715","1.74976e-06","-9.44214e-08"
"1.46484e-06","1.01563e-06","-0.606238","1.78249e-06","-7.17773e-08"
"-1.50391e-06","-9.375e-07","2.58416","1.77219e-06","-2.09351e-08"
"1.40625e-06","1.01563e-06","-0.625485","1.73466e-06","-1.14716e-07"
"1.38672e-06","9.57031e-07","-0.604078","1.6849e-06","-1.19415e-07"
"1.44531e-06","8.98437e-07","-0.556166","1.7018e-06","-8.52356e-08"
