"Δx [m]","Δy [m]","φ []","R [m]","Δz [m]"
"1.36719e-06","8.98437e-07","-0.58138","1.63597e-06","-1.70898e-09"
"1.48437e-06","9.17969e-07","-0.553854","1.74529e-06","-9.18579e-09"
"1.44531e-06","8.59375e-07","-0.536435","1.6815e-06","3.84521e-09"
"1.44531e-06","7.03125e-07","-0.452778","1.60727e-06","-4.91333e-09"
"1.58203e-06","9.375e-07","-0.534955","1.83895e-06","-1.70898e-08"
"1.42578e-06","8.78906e-07","-0.552419","1.67491e-06","-9.52759e-08"
