"Δx [m]","Δy [m]","φ []","R [m]","Δz [m]"
"-9.96094e-08","1.40625e-07","-2.18709","1.72329e-07","0"
"1.15234e-07","-2.30469e-07","1.10715","2.57672e-07","-1.92261e-09"
"5.66406e-08","-1.34766e-07","1.17292","1.46185e-07","-1.92261e-09"
"1.26953e-07","-2.08984e-07","1.0249","2.44523e-07","-4.69971e-09"
"-7.22656e-08","1.46484e-07","-2.0291","1.6334e-07","1.49536e-09"
