"Δx [m]","Δy [m]","φ []","R [m]","Δz [m]"
"4.42071e-06","1.08706e-07","-0.0245852","4.42205e-06","4.63785e-09"
"4.45695e-06","1.44941e-07","-0.0325089","4.45931e-06","2.80703e-08"
"4.38448e-06","1.44941e-07","-0.0330458","4.38687e-06","1.09107e-08"
"4.38448e-06","1.81177e-07","-0.0412988","4.38822e-06","5.13485e-09"
"4.52942e-06","1.44941e-07","-0.0319891","4.53174e-06","5.00815e-08"
"4.49318e-06","1.44941e-07","-0.0322469","4.49552e-06","-1.55786e-08"
"4.34824e-06","1.08706e-07","-0.0249948","4.3496e-06","-2.59102e-08"
"4.45695e-06","1.81177e-07","-0.040628","4.46063e-06","7.7761e-09"
"4.60189e-06","1.81177e-07","-0.0393498","4.60546e-06","1.64766e-08"
