"Δx [m]","Δy [m]","φ []","R [m]","Δz [m]"
"4.38448e-06","-1.08706e-07","0.0247883","4.38583e-06","-1.12541e-08"
"4.49318e-06","-2.17412e-07","0.0483494","4.49844e-06","6.60708e-09"
"4.38448e-06","-1.44941e-07","0.0330458","4.38687e-06","6.33104e-08"
"1.81177e-07","4.7106e-06","-1.53235","4.71408e-06","4.69429e-08"
"4.49318e-06","-2.89883e-07","0.0644268","4.50253e-06","1.38703e-08"
"4.31201e-06","-2.89883e-07","0.0671259","4.32174e-06","-3.14251e-08"
